Node_ID,Weight
86106,1.47E-05
119016,1.89E-05
75759,2.59E-05
114745,1.49E-05
85825,2.26E-05
83751,1.38E-05
117206,2.39E-05
101193,3.07E-05
5181,2.85E-05
4192,5.16E-06
51837,2.50E-05
73081,2.09E-05
46550,2.41E-05
58023,2.44E-05
3597,6.08E-05
76481,2.07E-05
119421,3.29E-05
109499,2.40E-05
108757,2.74E-05
81181,3.82E-05
113896,1.15E-05
71462,8.82E-06
48295,9.62E-06
46648,2.18E-05
56211,5.46E-05
114817,4.64E-05
118643,1.50E-05
86129,1.58E-05
110165,1.02E-05
17718,4.58E-05
103701,1.86E-05
91478,1.39E-05
62459,2.26E-05
119522,1.33E-05
50110,6.36E-05
119528,5.94E-05
114484,1.48E-05
102071,1.79E-05
120874,2.19E-05
112443,3.16E-05
12904,4.47E-05
6531,6.21E-05
82100,0.000171346
117620,5.57E-05
6757,5.27E-05
41258,2.20E-05
95025,2.78E-05
7560,6.77E-05
51147,8.43E-06
55917,2.33E-05
91629,2.27E-05
89255,1.60E-05
106814,1.81E-05
91758,2.19E-05
67708,8.75E-06
102151,2.00E-05
10357,3.13E-05
97113,2.13E-05
67312,5.78E-05
108755,3.16E-05
64798,3.12E-05
116476,1.88E-05
62160,1.34E-05
111750,1.58E-05
110599,1.48E-05
112976,2.41E-05
87086,1.63E-05
89269,1.05E-05
112176,2.41E-05
105053,5.54E-05
66245,4.20E-05
94377,4.61E-05
93252,3.50E-05
112134,2.14E-05
52269,8.32E-06
124368,1.04E-05
77165,3.06E-05
87978,4.07E-05
60255,3.43E-05
7604,2.04E-05
61830,1.98E-05
97618,3.76E-05
48791,9.76E-05
106506,2.18E-05
92879,1.90E-05
64762,1.33E-05
102926,1.60E-05
96558,4.28E-05
75722,2.59E-05
79257,5.95E-05
94123,1.18E-05
6442,1.95E-05
14042,1.94E-05
46754,1.20E-05
59417,3.98E-05
63522,2.90E-05
99641,1.88E-05
7193,5.16E-06
12025,9.35E-05
97292,1.69E-05
86021,1.62E-05
27864,1.59E-05
48706,2.33E-05
117294,4.11E-05
80818,2.30E-05
80426,3.51E-05
83435,1.40E-05
80041,4.65E-05
52567,2.05E-05
111224,2.59E-05
111982,2.07E-05
71906,9.54E-06
49712,2.42E-05
122147,3.73E-05
60638,2.51E-05
98249,3.47E-05
121848,2.21E-05
6599,1.08E-05
2874,3.47E-05
981,0.000175044
90651,4.66E-05
13326,2.41E-05
90635,2.53E-05
9416,2.88E-05
6991,5.16E-06
55669,8.43E-06
54690,0.000157484
120091,3.45E-05
88975,4.08E-05
71950,2.97E-05
58856,2.16E-05
47436,2.86E-05
52117,7.59E-05
68037,2.19E-05
50068,1.57E-05
3209,5.16E-05
91580,5.26E-05
116691,2.71E-05
111993,3.22E-05
104192,1.27E-05
47100,8.05E-06
93147,1.25E-05
71131,1.68E-05
107461,1.99E-05
12796,2.62E-05
3856,0.000155161
56004,1.49E-05
125142,2.09E-05
155,0.000133582
108563,5.03E-05
124524,2.01E-05
98785,1.90E-05
76792,1.67E-05
